name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Albert Bichot Macon Villages,3120,32.0,13.0,750
Morande Pionero Reserva Chardonnay,780,32.086,13.0,187
Lucien Albrecht Reserve Riesling,2899,32.211,12.0,750
Peter Lehmann Portrait Riesling Eden Valley,2799,32.452,11.5,750
Freixenet Pinot Grigio,699,32.504,11.5,187
Marani Tsinandali,3170,32.513,13.0,750
Bestheim Pinot Gris Classic,3294,32.533,13.5,750
Nice Sauvignon Blanc,703,32.69,11.5,187
Bestheim Riesling Classic,3065,32.693,12.5,750
Gustave Lorentz Evidence Riesling,3195,32.769,13.0,750
Vivera Altrove Bianco,3195,32.769,13.0,750
Les Hirondelles,3199,32.81,13.0,750
Nostalgia Alvarinho,3201,32.831,13.0,750
Beronia Viura,799,32.867,13.0,187
Vernice Flower Crown Coda di Volpe,3206,32.882,13.0,750
Van Gogh Riesling,2099,32.925,8.5,750
Chateau Ste Michelle Riesling,2990,33.222,12.0,750
Pfaff Gewurztraminer,3490,33.238,14.0,750
Kiss of Wine Sauvignon Blanc,999,33.3,12.0,250
Kiss of Wine Riesling,999,33.3,12.0,250
Moselland Ars Vitis Riesling,1999,33.317,8.0,750
Marlborough Sun Riesling,2499,33.32,10.0,750
Willm Riesling Reserve,2999,33.322,12.0,750
Tbilvino Rkatsiteli,2999,33.322,12.0,750
Marques de Casa Concha Chardonnay,3499,33.324,14.0,750
Tedeschi Capitel Tenda Soave Classico,3126,33.344,12.5,750
Montalto Pinot Grigio,749,33.378,12.0,187
One Chain The Googly Chardonnay,3257,33.405,13.0,750
Fairview Sauvignon Blanc,3390,33.481,13.5,750
Domaine Pont Major Chardonnay,3390,33.481,13.5,750
Zuccardi Torrontes Serie A,3394,33.521,13.5,750
Mure Gewurztraminer Orchidées Sauvages,3399,33.57,13.5,750
Gerard Bertrand Art de Vivre Clairette,3399,33.57,13.5,750
LaCheteau Vouvray Moelleux,2899,33.612,11.5,750
Pasqua Chardonnay Black Label,3290,33.744,13.0,750
Girlan 448 Bianco,3290,33.744,13.0,750
Hugel Pinot Blanc Classic,3290,33.744,13.0,750
Rene Kientz Riesling,3299,33.836,13.0,750
