name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Baron de Ley Club Privado,2699,25.705,14.0,750,37.0
Passo del Sud Appassimento,2699,25.705,14.0,750,42.0
Ramon Bilbao Crianza,2699,25.705,14.0,750,39.0
Montgras Day One Carmenere Selected Harvest,2699,25.705,14.0,750,40.0
Antiche Terre Valpolicella Ripasso,2648,26.153,13.5,750,38.0
Neleman Tempranillo Monastrell Organic,850,26.154,13.0,250,36.0
Lab Signature Tinto,2948,26.204,15.0,750,40.0
Valdecuriel Roble 8 Meses,2950,26.222,15.0,750,40.0
Solandia Primitivo,2490,26.56,12.5,750,34.0
Freixenet Chianti,2490,26.56,12.5,750,38.0
Crama Oprisor Caloian Cabernet Sauvignon,2789,26.562,14.0,750,43.0
Santa Julia Reserva Malbec Cabernet Franc,2889,26.566,14.5,750,37.0
Masciarelli Montepulciano d'Abruzzo Masciarelli,2690,26.568,13.5,750,37.0
Alamos Cabernet Sauvignon,2690,26.568,13.5,750,36.0
Zenato Alanera,2690,26.568,13.5,750,39.0
Amicale Rosso,2790,26.571,14.0,750,38.0
Chateau Lafont Fourcat Rouge,2790,26.571,14.0,750,36.0
Pasarisa Malbec,2790,26.571,14.0,750,40.0
Lopez de Haro Reserva,2790,26.571,14.0,750,38.0
Matsu El Picaro,2790,26.571,14.0,750,39.0
Familia Valdelana Crianza,2890,26.575,14.5,750,37.0
Acordeon Malbec Estate Grown,2895,26.621,14.5,750,38.0
Viva Valentina Il Classico Rosso,1398,26.629,14.0,375,38.0
Chateau du Bergey Fronsac Cuvee Tradition,2997,26.64,15.0,750,40.0
Sensi Chianti,2498,26.645,12.5,750,33.0
Montagnana,2499,26.656,12.5,750,36.0
Trivento Malbec Reserve,2599,26.656,13.0,750,37.0
Rossetti Chianti,2499,26.656,12.5,750,38.0
El Coto Crianza,2599,26.656,13.0,750,36.0
Silk & Spice Silk Route Smooth Red Blend,2599,26.656,13.0,750,36.0
Ecologica Shiraz Malbec Organic Reserve,2599,26.656,13.0,750,33.0
Bouchard Aine Pinot Noir Heritage du Conseiller,2499,26.656,12.5,750,35.0
Apothic Dark,2799,26.657,14.0,750,38.0
Manifesto Nero d'Avola Organic,2799,26.657,14.0,750,36.0
Masi Passo Doble,2799,26.657,14.0,750,35.0
Laurent Miquel Pas de Geant Syrah Grenache,2899,26.657,14.5,750,36.0
La Baume la Jeunesse Syrah,2799,26.657,14.0,750,37.0
Montgras Day One Cabernet Sauvignon Selected,2699,26.657,13.5,750,37.0
Altano Douro Rewilding Edition rautt,2699,26.657,13.5,750,38.0
Vina Eguia Crianza,2699,26.657,13.5,750,40.0
Pepperbox Shiraz,2799,26.657,14.0,750,38.0
Castillo Monjardin Crianza Cabernet Tempranillo Merlot,2799,26.657,14.0,750,
Hyria Primitivo,2799,26.657,14.0,750,39.0
Montgras Day One Merlot Selected Harvest,2699,26.657,13.5,750,37.0
Barton & Guestier Les Galets Grenache Syrah Mourvedre les Galets,2899,26.657,14.5,750,40.0
JP. Chenet Cabernet Syrah,649,26.697,13.0,187,34.0
JP. Chenet Cabernet Syrah,869,26.738,13.0,250,34.0
Berceo Tempranillo,2744,27.101,13.5,750,37.0
I Insurgente rautt,2850,27.143,14.0,750,41.0
Always on Friday Pinot Noir,2651,27.19,13.0,750,34.0
Trapiche Oak Cask Malbec & Trapiche Chardonnay blandað 2x750ml í öskju,5599,27.246,13.7,1500,36.0
Maiastru Merlot Demisec,2870,27.333,14.0,750,36.0
Colognole Sinopie rautt,2880,27.429,14.0,750,35.0
Orube Crianza,2880,27.429,14.0,750,38.0
Fabiano Rosso Veronese Negraro,2882,27.448,14.0,750,36.0
Grande Alberone Rosso,2990,27.494,14.5,750,38.0
Espresso Wine Merlot,617,27.496,12.0,187,37.0
Perelada 3 Finques,2888,27.505,14.0,750,35.0
Mariana Vinho Tinto,2889,27.514,14.0,750,
With Love Cabernet Sauvignon,2890,27.524,14.0,750,36.0
Marques del Silvo Reserva,2789,27.546,13.5,750,39.0
Finca Vidales Tinto,2790,27.556,13.5,750,36.0
Fontanafredda Briccotondo Barbera,2790,27.556,13.5,750,36.0
