name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Hérastubbur páskabjór,449,0.26165501165501165,5.2,330
Corona,418,0.26165884194053207,4.5,355
Malbygg Dropi Pilsner,599,0.2618006993006993,5.2,440
Kaldi,432,0.26181818181818184,5.0,330
Gæðingur Summer Balls,432,0.26181818181818184,5.0,330
Skíðastubbur páskabjór,399,0.2628458498023716,4.6,330
Segull 67 Sigló IPA,538,0.26295210166177907,6.2,330
Víking tveir vinir & annar í páskum IPA,469,0.2631874298540965,5.4,330
Garún nr. 19 Icelandic Stout,999,0.26324110671936757,11.5,330
Paulaner Weissbier Dunkel,699,0.2637735849056604,5.3,500
Guinness Draught,489,0.26461038961038963,4.2,440
Einstök Arctic Pale Ale,489,0.26461038961038963,5.6,330
Chang Classic Beer,824,0.2658064516129032,5.0,620
Kaldi Dökkur,439,0.26606060606060605,5.0,330
Einstök Toasted Porter,529,0.26717171717171717,6.0,330
Víking Lite Classic,389,0.26790633608815423,4.4,330
Gull Lite,389,0.26790633608815423,4.4,330
The Brothers Brewery páskalager,398,0.26801346801346804,4.5,330
Blue Moon Belgian White,478,0.2682379349046015,5.4,330
Kingfisher Premium,785,0.26837606837606837,4.5,650
Kvika Red Ale,444,0.2690909090909091,5.0,330
Litla Brugghúsið Skeggi Pipar Porter,747,0.2694805194805195,8.4,330
Litla Brugghúsið Garðskagi hveitibjór,498,0.2694805194805195,5.6,330
Mikkeller Classic Iskold Vienna Lager,499,0.27002164502164505,5.6,330
Víking páskabjór,429,0.2708333333333333,4.8,330
Fuller's ESB,799,0.27084745762711865,5.9,500
Gæðingur Satan,851,0.271451355661882,9.5,330
Hoegaarden Witbier,439,0.27149041434755716,4.9,330
Bönní Bönní Bönní Bönní White Ale with Orange,494,0.2721763085399449,5.5,330
Gæðingur Rúgbrauð,629,0.2722943722943723,7.0,330
Schwaben Brau Das Helle,681,0.2724,5.0,500
Föroya 1888 Golden Ram,899,0.2724242424242424,10.0,330
Bríó nr. 1 Pilsner,424,0.2733720180528691,4.7,330
Baltazar,596,0.2736455463728191,6.6,330
Dymbilvikudjús,965,0.2741477272727273,8.0,440
